DATE OCC,AREA NAME,Crm Cd Desc,LAT,LON,Cluster
09/12/2020 12:00:00 AM,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0384,-118.2305,0
04/05/2020 12:00:00 AM,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),34.1038,-118.3659,0
05/30/2020 12:00:00 AM,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.1766,-118.4589,0
09/07/2020 12:00:00 AM,Northeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,34.1036,-118.2995,0
08/14/2020 12:00:00 AM,77th Street,BURGLARY,33.9862,-118.3002,0
03/11/2020 12:00:00 AM,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0029,-118.2732,0
05/26/2020 12:00:00 AM,Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,34.1142,-118.3791,0
07/06/2020 12:00:00 AM,Hollywood,VEHICLE - ATTEMPT STOLEN,34.0982,-118.3092,0
05/10/2020 12:00:00 AM,Van Nuys,VEHICLE - ATTEMPT STOLEN,34.1847,-118.4509,0
12/24/2020 12:00:00 AM,West Valley,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",34.1902,-118.5335,0
02/03/2020 12:00:00 AM,Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.021,-118.3002,0
07/16/2020 12:00:00 AM,Central,INTIMATE PARTNER - SIMPLE ASSAULT,34.0416,-118.244,0
09/01/2020 12:00:00 AM,West LA,BURGLARY,34.041,-118.4437,0
03/11/2020 12:00:00 AM,West Valley,BATTERY - SIMPLE ASSAULT,34.1745,-118.5384,0
12/03/2020 12:00:00 AM,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.1006,-118.3417,0
11/21/2020 12:00:00 AM,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0795,-118.269,0
11/04/2020 12:00:00 AM,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0607,-118.2494,0
04/29/2020 12:00:00 AM,77th Street,VEHICLE - STOLEN,33.9748,-118.2652,0
07/26/2020 12:00:00 AM,Rampart,SEXUAL PENETRATION W/FOREIGN OBJECT,34.0836,-118.2868,0
06/28/2020 12:00:00 AM,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),34.0588,-118.3738,0
03/18/2020 12:00:00 AM,Van Nuys,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.2121,-118.4646,0
03/31/2020 12:00:00 AM,Wilshire,BURGLARY,34.0853,-118.3753,0
11/18/2020 12:00:00 AM,Van Nuys,VEHICLE - STOLEN,34.1802,-118.4421,0
01/16/2020 12:00:00 AM,Southwest,BRANDISH WEAPON,34.0155,-118.2975,0
02/06/2020 12:00:00 AM,Hollenbeck,PEEPING TOM,34.0357,-118.2127,0
09/26/2020 12:00:00 AM,Southwest,BATTERY - SIMPLE ASSAULT,34.0073,-118.2827,0
02/26/2020 12:00:00 AM,Central,BURGLARY,34.048,-118.2438,0
04/13/2020 12:00:00 AM,Harbor,BURGLARY,33.8706,-118.2829,0
02/24/2020 12:00:00 AM,77th Street,"RAPE, ATTEMPTED",33.9969,-118.3138,0
04/15/2020 12:00:00 AM,Hollywood,ROBBERY,34.0944,-118.3462,0
05/11/2020 12:00:00 AM,West Valley,BURGLARY,34.1689,-118.504,0
09/24/2020 12:00:00 AM,Wilshire,ROBBERY,34.0497,-118.3442,0
06/18/2020 12:00:00 AM,Van Nuys,ROBBERY,34.1813,-118.4377,0
01/20/2020 12:00:00 AM,Rampart,BURGLARY FROM VEHICLE,34.0547,-118.2842,0
10/02/2020 12:00:00 AM,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,34.082,-118.214,0
06/07/2020 12:00:00 AM,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.1264,-118.2679,0
04/03/2020 12:00:00 AM,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0922,-118.2226,0
03/23/2020 12:00:00 AM,West LA,OTHER MISCELLANEOUS CRIME,34.0295,-118.3967,0
07/12/2020 12:00:00 AM,Hollenbeck,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.0173,-118.2219,0
08/15/2020 12:00:00 AM,Hollenbeck,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.0311,-118.2071,0
12/27/2020 12:00:00 AM,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0255,-118.3177,0
12/11/2020 12:00:00 AM,Rampart,BRANDISH WEAPON,34.0646,-118.2669,0
11/07/2020 12:00:00 AM,Southwest,ROBBERY,34.0109,-118.3089,0
02/25/2020 12:00:00 AM,77th Street,BURGLARY FROM VEHICLE,33.9906,-118.2827,0
02/22/2020 12:00:00 AM,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),34.1,-118.3113,0
08/25/2020 12:00:00 AM,Wilshire,VEHICLE - STOLEN,34.0429,-118.3329,0
02/28/2020 12:00:00 AM,Central,TRESPASSING,34.0537,-118.2455,0
01/30/2020 12:00:00 AM,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.0409,-118.2574,0
07/03/2020 12:00:00 AM,Harbor,BRANDISH WEAPON,33.75,-118.2967,0
11/13/2020 12:00:00 AM,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),33.741,-118.2838,0
03/23/2020 12:00:00 AM,77th Street,BATTERY - SIMPLE ASSAULT,33.9678,-118.2827,0
08/07/2020 12:00:00 AM,Hollywood,VEHICLE - STOLEN,34.098,-118.3479,0
03/06/2020 12:00:00 AM,Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,34.1536,-118.4181,0
03/16/2020 12:00:00 AM,Northeast,BATTERY - SIMPLE ASSAULT,34.0951,-118.2171,0
09/05/2020 12:00:00 AM,West Valley,SEXUAL PENETRATION W/FOREIGN OBJECT,34.2139,-118.5323,0
03/05/2020 12:00:00 AM,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0431,-118.2196,0
07/31/2020 12:00:00 AM,Rampart,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.0629,-118.2741,0
07/29/2020 12:00:00 AM,Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0145,-118.2937,0
08/16/2020 12:00:00 AM,Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.027,-118.3395,0
03/26/2020 12:00:00 AM,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0488,-118.2817,0
10/26/2020 12:00:00 AM,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0522,-118.2469,0
01/13/2020 12:00:00 AM,Southwest,BATTERY - SIMPLE ASSAULT,34.0311,-118.3428,0
04/18/2020 12:00:00 AM,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.093,-118.2058,0
02/29/2020 12:00:00 AM,Central,BATTERY - SIMPLE ASSAULT,34.0612,-118.2417,0
04/22/2020 12:00:00 AM,Harbor,BURGLARY,33.7433,-118.2813,0
08/29/2020 12:00:00 AM,Hollywood,RESISTING ARREST,34.1038,-118.3035,0
01/04/2020 12:00:00 AM,Northeast,BURGLARY,34.0951,-118.2171,0
01/02/2020 12:00:00 AM,Van Nuys,INTIMATE PARTNER - AGGRAVATED ASSAULT,34.1546,-118.4574,0
01/31/2020 12:00:00 AM,Central,BIKE - STOLEN,34.0442,-118.2439,0
11/30/2020 12:00:00 AM,Northeast,THEFT OF IDENTITY,34.1134,-118.2008,0
08/05/2020 12:00:00 AM,Central,THEFT PLAIN - PETTY ($950 & UNDER),34.0437,-118.2518,0
12/12/2020 12:00:00 AM,Hollywood,BURGLARY FROM VEHICLE,34.0978,-118.3763,0
08/28/2020 12:00:00 AM,77th Street,VEHICLE - STOLEN,33.9824,-118.2844,0
03/07/2020 12:00:00 AM,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0782,-118.3695,0
09/28/2020 12:00:00 AM,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.1053,-118.3169,0
05/29/2020 12:00:00 AM,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.0516,-118.3219,0
03/12/2020 12:00:00 AM,Northeast,VEHICLE - STOLEN,34.0922,-118.2829,0
03/18/2020 12:00:00 AM,Van Nuys,THEFT OF IDENTITY,34.1857,-118.4509,0
05/22/2020 12:00:00 AM,Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),34.0633,-118.3473,0
05/11/2020 12:00:00 AM,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33.9747,-118.2783,0
12/18/2020 12:00:00 AM,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.0492,-118.4394,0
03/11/2020 12:00:00 AM,Northeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.1393,-118.2088,0
04/22/2020 12:00:00 AM,Rampart,BURGLARY FROM VEHICLE,34.0658,-118.2814,0
07/14/2020 12:00:00 AM,Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0404,-118.3347,0
01/04/2020 12:00:00 AM,77th Street,BATTERY - SIMPLE ASSAULT,33.9748,-118.2652,0
04/16/2020 12:00:00 AM,Harbor,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),33.7757,-118.24,0
10/16/2020 12:00:00 AM,Wilshire,BURGLARY,34.0818,-118.3474,0
10/26/2020 12:00:00 AM,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0155,-118.3002,0
06/23/2020 12:00:00 AM,West LA,BURGLARY FROM VEHICLE,34.0982,-118.4568,0
10/13/2020 12:00:00 AM,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0444,-118.2541,0
04/17/2020 12:00:00 AM,Wilshire,VEHICLE - STOLEN,34.0604,-118.3376,0
04/11/2020 12:00:00 AM,Wilshire,CHILD NEGLECT (SEE 300 W.I.C.),34.0417,-118.3588,0
03/30/2020 12:00:00 AM,Northeast,BURGLARY,34.0908,-118.3005,0
08/12/2020 12:00:00 AM,Rampart,BATTERY - SIMPLE ASSAULT,34.0699,-118.2777,0
07/12/2020 12:00:00 AM,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0219,-118.3045,0
01/19/2020 12:00:00 AM,Rampart,BATTERY - SIMPLE ASSAULT,34.0846,-118.2892,0
05/22/2020 12:00:00 AM,Southwest,BATTERY - SIMPLE ASSAULT,34.0256,-118.3089,0
05/01/2020 12:00:00 AM,Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0936,-118.2256,0
07/02/2020 12:00:00 AM,Van Nuys,THEFT OF IDENTITY,34.1576,-118.4426,0
06/29/2020 12:00:00 AM,Southwest,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",34.0325,-118.3553,0
10/13/2020 12:00:00 AM,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.0296,-118.2959,0
10/28/2020 12:00:00 AM,77th Street,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,33.979,-118.2827,0
09/12/2020 12:00:00 AM,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),34.1,-118.2544,0
05/17/2020 12:00:00 AM,Wilshire,TRESPASSING,34.0731,-118.3274,0
01/20/2020 12:00:00 AM,Central,THEFT OF IDENTITY,34.0446,-118.2507,0
06/02/2020 12:00:00 AM,77th Street,BURGLARY FROM VEHICLE,34.0037,-118.2959,0
10/26/2020 12:00:00 AM,Hollywood,BURGLARY FROM VEHICLE,34.1016,-118.3489,0
06/09/2020 12:00:00 AM,West Valley,VIOLATION OF COURT ORDER,34.2077,-118.4912,0
11/12/2020 12:00:00 AM,Harbor,BURGLARY,33.7734,-118.277,0
12/27/2020 12:00:00 AM,77th Street,EXTORTION,34.0006,-118.2948,0
09/21/2020 12:00:00 AM,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.082,-118.213,0
10/10/2020 12:00:00 AM,West LA,BURGLARY FROM VEHICLE,34.043,-118.5398,0
12/20/2020 12:00:00 AM,Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0908,-118.2439,0
05/30/2020 12:00:00 AM,Wilshire,BURGLARY,34.0761,-118.3766,0
08/19/2020 12:00:00 AM,Southwest,VEHICLE - STOLEN,34.0149,-118.3479,0
04/17/2020 12:00:00 AM,West LA,BURGLARY,34.0369,-118.3823,0
11/08/2020 12:00:00 AM,Northeast,VEHICLE - STOLEN,34.0724,-118.2467,0
08/27/2020 12:00:00 AM,Van Nuys,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.2012,-118.4312,0
02/06/2020 12:00:00 AM,Van Nuys,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.1994,-118.4313,0
06/13/2020 12:00:00 AM,Southwest,"RAPE, FORCIBLE",34.0161,-118.3546,0
08/12/2020 12:00:00 AM,West Valley,THEFT OF IDENTITY,34.193,-118.5256,0
08/18/2020 12:00:00 AM,Southwest,INTIMATE PARTNER - AGGRAVATED ASSAULT,34.0214,-118.3486,0
03/11/2020 12:00:00 AM,Hollenbeck,BURGLARY FROM VEHICLE,34.0707,-118.2103,0
10/23/2020 12:00:00 AM,Southwest,CRIMINAL THREATS - NO WEAPON DISPLAYED,34.0087,-118.2827,0
02/18/2020 12:00:00 AM,Harbor,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),33.8613,-118.2962,0
12/02/2020 12:00:00 AM,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0433,-118.2841,0
05/29/2020 12:00:00 AM,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0467,-118.2485,0
01/19/2020 12:00:00 AM,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.1682,-118.5406,0
02/22/2020 12:00:00 AM,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0863,-118.3033,0
04/07/2020 12:00:00 AM,Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.0596,-118.2749,0
11/09/2020 12:00:00 AM,77th Street,KIDNAPPING - GRAND ATTEMPT,33.9705,-118.2696,0
11/20/2020 12:00:00 AM,West LA,TRESPASSING,34.0431,-118.444,0
12/03/2020 12:00:00 AM,77th Street,VIOLATION OF COURT ORDER,34.0001,-118.2827,0
01/24/2020 12:00:00 AM,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34.0855,-118.3659,0
02/14/2020 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,33.7785,-118.2623,0
01/27/2020 12:00:00 AM,Hollywood,VIOLATION OF COURT ORDER,34.0993,-118.3114,0
06/27/2020 12:00:00 AM,Van Nuys,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.1836,-118.4575,0
02/03/2020 12:00:00 AM,Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33.7968,-118.3043,0
02/23/2020 12:00:00 AM,Central,BATTERY - SIMPLE ASSAULT,34.0388,-118.2717,0
11/15/2020 12:00:00 AM,77th Street,BATTERY - SIMPLE ASSAULT,33.9628,-118.2695,0
11/30/2020 12:00:00 AM,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),34.0572,-118.2658,0
10/12/2020 12:00:00 AM,Van Nuys,ARSON,34.1649,-118.4487,0
07/27/2020 12:00:00 AM,Southwest,VEHICLE - STOLEN,34.0222,-118.3227,0
03/24/2020 12:00:00 AM,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,34.0504,-118.4206,0
09/20/2020 12:00:00 AM,Central,THEFT PLAIN - PETTY ($950 & UNDER),34.0462,-118.2585,0
